Site Number,Street Description,Lat,Long,Lat Adjusted,Long Adjusted,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
216604,31 Avenue West of 106 Street,53.4629643,-113.5050796,53.4629643,-113.5050796,-,600,800,800,800,800,800,800,900,800,900,1000
216634,31 Avenue West of 112A Street,53.4638798,-113.5232009,53.4638798,-113.5232009,1800,1700,1800,2000,2000,1900,1900,1800,1900,1700,1900,2000
216646,31 Avenue West of 113 Street,53.4638691,-113.5278594,53.4638691,-113.5278594,1400,1400,1500,1400,1400,1300,1100,1000,1100,1000,1100,1200
216544,31 Avenue West of Gateway Boulevard,53.4634462,-113.4931096,53.4634462,-113.4931096,-,-,-,-,3400,3100,3100,2900,3000,2600,2800,3000
512172,31 Avenue West of Parsons Road,53.4626966,-113.4874619,53.4626966,-113.4874619,-,-,-,-,1700,1600,1600,1500,1600,1400,1500,1600
512004,31 Avenue West of Youville Drive West,53.4622683,-113.4335386,53.4622683,-113.4335386,7400,7300,7500,7700,7700,7300,7300,6900,7200,6200,6700,7000
531975,31 Street North of  37A Avenue,53.4729056,-113.3873764,53.4729056,-113.3873764,3400,3400,3400,3500,3500,3300,3300,3100,3200,2800,3000,3200
532035,31A Street North of  36A Avenue,53.4690461,-113.389166,53.4690461,-113.389166,-,-,-,3100,3100,2900,2900,2800,2900,2500,2700,2900
532099,32 Street North of  21 Avenue,53.4520567,-113.3864501,53.4520567,-113.3864501,-,-,3300,3400,3400,3200,3200,3000,3100,2700,2900,3100
532103,32 Street North of  22 Avenue,53.4534437,-113.3864141,53.4534437,-113.3864141,3200,3200,3200,3300,7600,7200,7200,8500,8800,7500,8100,8500
532107,32 Street North of  23 Avenue,53.454322,-113.3864231,53.454322,-113.3864231,3500,3400,3500,3600,3000,2900,2900,3700,3900,3400,3700,3900
532111,32 Street North of  24 Avenue,53.4550289,-113.3864321,53.4550289,-113.3864321,1700,1600,1700,1700,1700,1600,1600,1500,1600,1400,1500,1600
110037,32 Street North of 110 Avenue,53.5635758,-113.3894358,53.5635758,-113.3894358,-,600,700,700,700,700,700,700,800,700,800,900
217354,32A Avenue West of 116 Street,53.4650952,-113.5355666,53.4650952,-113.5355666,200,200,200,200,200,200,200,200,300,300,400,500
512560,33 Avenue West of  26 Street,53.463141,-113.3813509,53.463141,-113.3813509,1900,1900,1900,2000,2000,1900,1900,1800,1900,1700,1900,2000
430009,33 Street NE North of 121 Avenue NE,53.5950139,-113.2952948,53.5950139,-113.2952948,-,-,-,-,3400,3200,1300,1200,1300,1200,1300,1400
430013,33 Street NE North of 137 Avenue NE,53.6023522,-113.2952589,53.6023522,-113.2952589,-,-,-,-,500,500,900,900,1000,900,1000,1100
430005,33 Street NE North of Yellowhead Trail NE,53.572264,-113.29541,53.572264,-113.29541,3100,3700,3700,3800,3800,3600,3600,3400,3600,3100,3400,3600
532335,33 Street North of  40A Avenue,53.4764972,-113.3913334,53.4764972,-113.3913334,400,300,400,400,400,400,400,400,500,500,600,700
512868,34 Avenue West of  17 Street,53.4675096,-113.370667,53.4675096,-113.370667,-,-,-,-,5000,4800,4800,7300,7600,6500,7000,7300
512892,34 Avenue West of  21 Street,53.4676167,-113.3755773,53.4676167,-113.3755773,-,-,-,2200,2200,2100,2100,2000,2100,1800,2000,2100
512952,34 Avenue West of  34 Street,53.463654,-113.396527,53.463654,-113.396527,13200,13000,13200,16200,17900,16800,16800,16000,16500,14100,15100,15800
512960,34 Avenue West of  37 Street,53.4638424,-113.4000119,53.4638424,-113.4000119,12400,12200,12400,13700,13700,13000,13000,14400,14900,12700,13600,14200
512976,34 Avenue West of  48 Street,53.4648489,-113.4171889,53.4648489,-113.4171889,13800,15000,15200,15600,18200,17500,17500,14800,15300,13100,14100,14700
512984,34 Avenue West of  50 Street,53.4652986,-113.4249051,53.4652986,-113.4249051,-,-,-,18000,19800,19100,19100,15200,15700,13400,14400,15000
512992,34 Avenue West of  58 Street,53.465496,-113.432184,53.465496,-113.432184,16200,16000,18300,18900,21900,17900,17900,17000,17600,15000,16100,16800
513000,34 Avenue West of  66 Street,53.4652397,-113.4394021,53.4652397,-113.4394021,-,-,-,19300,20400,17600,17600,14200,14700,12500,13400,14000
513008,34 Avenue West of  71 Street,53.464929,-113.446021,53.464929,-113.446021,17800,17500,17800,19200,19200,18200,18200,15900,16400,14000,15000,15600
513024,34 Avenue West of  82 Street,53.4652879,-113.4586836,53.4652879,-113.4586836,19000,18700,19000,22600,22400,21100,21100,19200,19800,16900,18100,18900
513032,34 Avenue West of  91 Street,53.4653414,-113.4689628,53.4653414,-113.4689628,-,-,-,-,24500,23400,23400,22200,22900,19500,20900,21800
513040,34 Avenue West of  92 Street,53.465338,-113.471431,53.465338,-113.471431,23900,22800,23200,24300,25300,22300,21400,21000,21700,18500,19800,20600
